,cpu,mem
533,779.83,31.63
534,779.83,31.63
535,776.19,31.63
536,776.19,31.63
537,780.31,31.63
538,780.31,31.63
539,780.37,31.63
540,780.37,31.63
541,601.19,31.63
542,601.19,31.63
543,100.19,41.26
544,100.19,41.26
545,100.53,41.27
546,100.53,41.27
547,100.63,23.37
548,100.63,23.37
549,100.47,18.26
550,100.47,18.26
551,100.47,18.26
552,604.71,22.80
553,604.71,22.80
554,781.07,22.80
555,781.07,22.80
556,779.30,22.80
557,779.30,22.80
558,568.02,26.86
559,568.02,26.86
560,100.11,6.73
561,100.11,6.73
562,433.48,6.28
563,433.48,6.28
564,100.26,12.49
565,100.26,12.49
566,100.28,15.99
567,100.28,15.99
568,100.88,19.56
569,100.88,19.56
570,481.63,29.01
571,481.63,29.01
572,776.71,29.01
573,776.71,29.01
574,777.34,29.01
575,777.34,29.01
576,784.19,29.01
577,784.19,29.01
578,777.98,29.01
579,777.98,29.01
580,780.99,29.01
581,780.99,29.01
582,779.99,29.01
583,779.99,29.01
584,781.80,29.01
585,781.80,29.01
586,777.34,29.01
587,777.34,29.01
588,777.90,29.01
589,777.90,29.01
590,728.08,32.45
591,728.08,32.45
592,109.89,38.07
593,109.89,38.07
594,100.72,38.08
595,100.72,38.08
596,100.46,15.96
597,100.46,15.96
598,100.15,19.81
599,100.15,19.81
600,459.63,26.27
601,459.63,26.27
602,782.57,26.27
603,782.57,26.27
604,776.56,26.27
605,776.56,26.27
606,764.91,26.27
607,764.91,26.27
608,764.91,26.27
609,773.65,26.27
610,773.65,26.27
611,549.81,31.66
612,549.81,31.66
613,100.13,25.01
614,100.13,25.01
615,263.42,8.10
616,263.42,8.10
617,99.79,12.40
618,99.79,12.40
619,99.86,15.96
620,99.86,15.96
621,291.29,25.66
622,291.29,25.66
623,776.01,25.66
624,776.01,25.66
625,770.21,25.66
626,770.21,25.66
627,773.82,25.66
628,773.82,25.66
629,777.69,25.66
630,777.69,25.66
631,778.06,25.66
632,778.06,25.66
633,775.57,25.66
634,775.57,25.66
635,777.68,25.66
636,777.68,25.66
637,779.54,25.66
638,779.54,25.66
639,680.28,27.99
640,680.28,27.99
641,99.90,33.81
642,99.90,33.81
643,100.69,33.82
644,100.69,33.82
645,100.06,17.06
646,100.06,17.06
647,100.30,20.68
648,100.30,20.68
649,193.52,29.75
650,193.52,29.75
651,775.74,29.75
652,775.74,29.75
653,780.96,29.75
654,780.96,29.75
655,773.66,29.75
656,773.66,29.75
657,779.77,29.75
658,779.77,29.75
659,778.23,29.75
660,778.23,29.75
661,778.23,29.75
662,775.14,29.75
663,775.14,29.75
664,761.47,29.75
665,761.47,29.75
666,208.51,36.53
667,208.51,36.53
668,115.38,1.27
669,115.38,1.27
670,161.85,9.30
671,161.85,9.30
672,100.79,12.93
673,100.79,12.93
674,132.80,22.57
675,132.80,22.57
676,778.59,22.57
677,778.59,22.57
678,781.70,22.57
679,781.70,22.57
680,781.19,22.57
681,781.19,22.57
682,777.01,22.57
683,777.01,22.57
684,779.48,22.57
685,779.48,22.57
686,773.89,22.57
687,773.89,22.57
688,780.25,22.57
689,780.25,22.57
690,335.45,29.68
691,335.45,29.68
692,100.39,29.70
693,100.39,29.70
694,99.86,23.25
695,99.86,23.25
696,100.18,19.77
697,100.18,19.77
698,100.38,23.40
699,100.38,23.40
700,413.78,32.26
701,413.78,32.26
702,776.96,32.26
703,776.96,32.26
704,779.09,32.26
705,779.09,32.26
706,781.04,32.26
707,781.04,32.26
708,779.53,32.26
709,779.53,32.26
710,778.29,32.26
711,778.29,32.26
712,775.92,32.26
713,775.92,32.26
714,776.93,32.26
715,776.93,32.26
716,780.15,32.26
717,780.15,32.26
718,780.15,32.26
719,327.58,40.22
720,327.58,40.22
721,100.37,40.23
722,100.37,40.23
723,214.69,4.70
724,214.69,4.70
725,100.17,9.95
726,100.17,9.95
727,150.59,18.41
728,150.59,18.41
729,780.78,18.41
730,780.78,18.41
731,777.48,18.41
732,777.48,18.41
733,779.05,18.41
734,779.05,18.41
735,778.13,18.41
736,778.13,18.41
737,779.24,18.41
738,779.24,18.41
739,390.56,24.12
740,390.56,24.12
741,99.87,13.40
742,99.87,13.40
743,100.45,16.51
744,100.45,16.51
745,99.96,20.01
746,99.96,20.01
747,100.95,23.54
748,100.95,23.54
749,324.20,33.63
750,324.20,33.63
751,767.94,33.63
752,767.94,33.63
753,782.55,33.63
754,782.55,33.63
755,778.22,33.63
756,778.22,33.63
757,780.94,33.63
758,780.94,33.63
759,777.20,33.63
760,777.20,33.63
761,781.79,33.63
762,781.79,33.63
763,777.29,33.63
764,777.29,33.63
765,777.56,33.63
766,777.56,33.63
767,780.92,33.63
768,780.92,33.63
769,780.92,33.63
770,704.46,39.28
771,704.46,39.28
772,102.10,42.08
773,102.10,42.08
774,100.28,42.44
775,100.28,42.44
776,358.36,12.26
777,358.36,12.26
778,135.33,7.89
779,135.33,7.89
780,148.85,15.34
781,148.85,15.34
782,776.16,15.34
783,776.16,15.34
784,778.13,15.34
785,778.13,15.34
786,780.13,15.34
787,780.13,15.34
788,743.91,15.34
789,743.91,15.34
790,128.61,19.80
791,128.61,19.80
792,100.34,19.07
793,100.34,19.07
794,100.58,18.46
795,100.58,18.46
796,100.13,21.98
797,100.13,21.98
798,101.18,31.52
799,101.18,31.52
800,714.41,34.06
801,714.41,34.06
802,781.02,34.06
803,781.02,34.06
804,780.66,34.06
805,780.66,34.06
806,769.67,34.06
807,769.67,34.06
808,789.92,34.06
809,789.92,34.06
810,778.68,34.06
811,778.68,34.06
812,778.68,34.06
813,782.37,34.06
814,782.37,34.06
815,777.44,34.06
816,777.44,34.06
817,780.10,34.06
818,780.10,34.06
819,782.06,34.06
820,782.06,34.06
821,731.32,34.06
822,731.32,34.06
823,141.64,43.24
824,141.64,43.24
825,100.71,43.41
826,100.71,43.41
827,100.43,12.76
828,100.43,12.76
829,555.41,15.34
830,555.41,15.34
831,365.83,7.30
832,365.83,7.30
833,178.33,11.88
834,178.33,11.88
835,776.33,11.88
836,776.33,11.88
837,782.33,11.88
838,782.33,11.88
839,223.58,8.67
840,223.58,8.67
841,99.71,14.56
842,99.71,14.56
843,100.14,17.99
844,100.14,17.99
845,100.42,21.50
846,100.42,21.50
847,119.87,33.20
848,119.87,33.20
849,779.58,33.20
850,779.58,33.20
851,781.52,33.20
852,781.52,33.20
853,779.92,33.20
854,779.92,33.20
855,779.92,33.20
856,779.77,33.20
857,779.77,33.20
858,776.40,33.20
859,776.40,33.20
860,783.41,33.20
861,783.41,33.20
862,780.22,33.20
863,780.22,33.20
864,778.30,33.20
865,778.30,33.20
866,774.79,33.20
867,774.79,33.20
